antecedent,consequent,sup_ant,sup_cons,sup_joint,weight_ant,weight_cons,wsup_ant,reg_ant,reg_cons,maxRegW_ant,maxRegW_cons,wNegSup,wNegConf,severity
Headache,Skin rash,0.3273,0.0407,0.0203,0.3,0.5,0.0982,26,123,420.0,300.0,0.0461,0.4689,0.1876
Abdominal pain,Sleepiness,0.1923,0.082,0.0033,0.55,0.4,0.1058,29,59,270.0,360.0,0.0416,0.3931,0.1867
Indigestion,Skin rash,0.1413,0.0407,0.004,0.26,0.5,0.0367,63,123,444.0,300.0,0.0179,0.4858,0.1846
Abdominal pain,Abnormal liver function tests,0.1923,0.055,0.0057,0.55,0.4,0.1058,29,104,270.0,360.0,0.0411,0.3882,0.1844
Diarrhea,Sleepiness,0.7387,0.082,0.0267,0.55,0.4,0.4063,7,59,270.0,360.0,0.1566,0.3856,0.1831
Diarrhea,Insomnia (difficulty in sleeping),0.7387,0.0517,0.0293,0.55,0.4,0.4063,7,87,270.0,360.0,0.1561,0.3841,0.1825
Constipation,Rash,0.074,0.227,0.0083,0.32,0.5,0.0237,64,30,408.0,300.0,0.0105,0.4437,0.1819
Nausea,Abdominal pain,0.7083,0.1923,0.188,0.35,0.55,0.2479,8,29,390.0,270.0,0.1002,0.404,0.1818
Vomiting,Sleepiness,0.476,0.082,0.0447,0.6,0.4,0.2856,10,59,240.0,360.0,0.1035,0.3625,0.1812
Indigestion,Abdominal pain,0.1413,0.1923,0.027,0.26,0.55,0.0367,63,29,444.0,270.0,0.0163,0.4449,0.1802
Sleepiness,Diarrhea,0.082,0.7387,0.0267,0.4,0.55,0.0328,59,7,360.0,270.0,0.0122,0.3711,0.1763
Diarrhea,Abnormal liver function tests,0.7387,0.055,0.0543,0.55,0.4,0.4063,7,104,270.0,360.0,0.1506,0.3706,0.176
Headache,Rash,0.3273,0.227,0.04,0.3,0.5,0.0982,26,30,420.0,300.0,0.0431,0.4389,0.1756
Nausea,Rash,0.7083,0.227,0.123,0.35,0.5,0.2479,8,30,390.0,300.0,0.1024,0.4132,0.1756
Stomach pain,Sleepiness,0.2483,0.082,0.019,0.55,0.4,0.1366,24,59,270.0,360.0,0.0505,0.3694,0.1755
Increased liver enzymes,Loss of appetite,0.109,0.0997,0.0127,0.78,0.35,0.085,56,53,132.0,390.0,0.0263,0.3093,0.1748
Allergic reaction,Constipation,0.1363,0.074,0.0033,0.8,0.32,0.1091,57,64,120.0,408.0,0.034,0.3122,0.1748
Rash,Sleepiness,0.227,0.082,0.0073,0.5,0.4,0.1135,30,59,300.0,360.0,0.0439,0.3871,0.1742
Nausea,Stomach pain,0.7083,0.2483,0.212,0.35,0.55,0.2479,8,24,390.0,270.0,0.0955,0.3854,0.1734
Nausea,Weakness,0.7083,0.0487,0.0267,0.35,0.45,0.2479,8,83,390.0,330.0,0.1074,0.4331,0.1732
Rash,Insomnia (difficulty in sleeping),0.227,0.0517,0.009,0.5,0.4,0.1135,30,87,300.0,360.0,0.0436,0.3841,0.1729
Indigestion,Rash,0.1413,0.227,0.0137,0.26,0.5,0.0367,63,30,444.0,300.0,0.0166,0.4517,0.1716
Stomach pain,Vomiting,0.2483,0.476,0.1253,0.55,0.6,0.1366,24,10,270.0,240.0,0.0406,0.2972,0.1709
