antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,wsup_ant,wsup_cons,weight_cons,wconf,rule_type
Headache,Dizziness,0.3564356435643564,0.2511917858452512,0.1936193619361936,0.5432098765432098,2.162530413625304,1.0,0.10408565609036151,1.639282847203639,0.8353146853146853,0.4676705048715678,0.3899771465883121,0.6570063981256196,0.0972,0.07991666666666666,0.35,0.19012345679012344,positive (weighted)
Dizziness,Headache,0.2511917858452512,0.3564356435643564,0.1936193619361936,0.7708029197080292,2.162530413625304,1.0,0.10408565609036151,2.807908179352967,0.7179124744012111,0.4676705048715678,0.643862998315553,0.6570063981256196,0.07991666666666666,0.0972,0.3,0.23124087591240874,positive (weighted)
Insomnia (difficulty in sleeping),Dizziness,0.05683901723505684,0.2511917858452512,0.0407040704070407,0.7161290322580645,2.850925359076995,1.0,0.02642657616207776,2.637847118045137,0.6883625460608352,0.15226337448559668,0.6209029730498246,0.4390864139392512,0.020666666666666667,0.07991666666666666,0.35,0.25064516129032255,positive (weighted)
Dizziness,Nausea,0.2511917858452512,0.7557755775577558,0.17785111844517784,0.7080291970802919,0.936824658145539,1.0,-0.011993498579780992,0.836468646864686,-0.08261699210789596,0.21450685537372843,-0.19550207141448073,0.4716759279918684,0.07991666666666666,0.24045,0.35,0.24781021897810215,positive (weighted)
Sleepiness,Dizziness,0.08984231756508984,0.2511917858452512,0.05243857719105244,0.5836734693877551,2.3236168628035156,1.0,0.02987092499740134,1.7986079653717004,0.6258656734079779,0.18170266836086404,0.4440144716064683,0.39621629673767317,0.03266666666666667,0.07991666666666666,0.35,0.20428571428571426,positive (weighted)
Dizziness,Vomiting,0.2511917858452512,0.5236523652365237,0.1301796846351302,0.5182481751824818,0.9896798135312519,1.0,-0.001357488150721925,0.9887822115544888,-0.013734600444894884,0.20193401592718996,-0.011345054870956349,0.3834238074791961,0.07991666666666666,0.28559999999999997,0.6,0.3109489051094891,positive (weighted)
Weakness,Dizziness,0.053171983865053174,0.2511917858452512,0.042170883755042174,0.7931034482758621,3.157362194815001,1.0,0.028814518171044586,3.619239701747953,0.7216515677095612,0.16083916083916086,0.7236988753419569,0.4804933299773471,0.02175,0.07991666666666666,0.35,0.2775862068965517,positive (weighted)
Flatulence,Headache,0.1474147414741474,0.3564356435643564,0.10451045104510451,0.7089552238805971,1.9890132669983418,1.0,0.051966582796893555,2.2112211221122116,0.5832122241086588,0.26170798898071623,0.5477611940298508,0.5010825502119035,0.02412,0.0972,0.3,0.2126865671641791,positive (weighted)
Flatulence,Nausea,0.1474147414741474,0.7557755775577558,0.11037770443711038,0.7487562189054727,0.9907123769797302,1.0,-0.001034756941040632,0.9720615625919029,-0.01087601763907727,0.13922294172062905,-0.028741427995159153,0.44740091391658887,0.02412,0.24045,0.35,0.26206467661691546,positive (weighted)
Flatulence,Stomach pain,0.1474147414741474,0.2731939860652732,0.11441144114411442,0.7761194029850748,2.8409095462285894,1.0,0.07413862031601035,3.2464001955751147,0.7600413564929694,0.3736526946107785,0.6919665045107463,0.5974556746468999,0.02412,0.13658333333333333,0.55,0.4268656716417912,positive (weighted)
