antecedent,consequent,sup_ant,sup_cons,sup_joint,neg_conf,reg_ant,reg_cons,weight_ant,weight_cons,severity_proxy
Abnormal liver function tests,Vomiting,0.055,0.476,0.001,0.9818181818181818,104,10,0.4,0.6,0.9818181818181818
Abnormal liver function tests,Increased liver enzymes,0.055,0.109,0.001,0.9818181818181818,104,56,0.4,0.78,0.9818181818181818
Indigestion,Insomnia (difficulty in sleeping),0.14133333333333334,0.051666666666666666,0.0026666666666666666,0.981132075471698,63,87,0.26,0.4,0.981132075471698
Indigestion,Dryness in mouth,0.14133333333333334,0.08966666666666667,0.0026666666666666666,0.981132075471698,63,65,0.26,0.2,0.981132075471698
Rash,Flatulence,0.227,0.134,0.004333333333333333,0.9809104258443466,30,43,0.5,0.18,0.9809104258443466
Itching,Abnormal liver function tests,0.051666666666666666,0.055,0.001,0.9806451612903225,109,104,0.28,0.4,0.9806451612903225
Insomnia (difficulty in sleeping),Stomach pain,0.051666666666666666,0.24833333333333332,0.001,0.9806451612903225,87,24,0.4,0.55,0.9806451612903225
Headache,Allergic reaction,0.3273333333333333,0.13633333333333333,0.007,0.9786150712830957,26,57,0.3,0.8,0.9786150712830957
Increased liver enzymes,Flatulence,0.109,0.134,0.0023333333333333335,0.9785932721712538,56,43,0.78,0.18,0.9785932721712538
Increased liver enzymes,Heartburn,0.109,0.057,0.0023333333333333335,0.9785932721712538,56,120,0.78,0.28,0.9785932721712538
Allergic reaction,Flatulence,0.13633333333333333,0.134,0.003,0.9779951100244498,57,43,0.8,0.18,0.9779951100244498
Dryness in mouth,Itching,0.08966666666666667,0.051666666666666666,0.002,0.9776951672862453,65,109,0.2,0.28,0.9776951672862453
Flatulence,Allergic reaction,0.134,0.13633333333333333,0.003,0.9776119402985074,43,57,0.18,0.8,0.9776119402985074
Constipation,Itching,0.074,0.051666666666666666,0.0016666666666666668,0.9774774774774775,64,109,0.32,0.28,0.9774774774774775
Loss of appetite,Fatigue,0.09966666666666667,0.056666666666666664,0.0023333333333333335,0.9765886287625417,53,171,0.35,0.32,0.9765886287625417
Fatigue,Itching,0.056666666666666664,0.051666666666666666,0.0013333333333333333,0.9764705882352941,171,109,0.32,0.28,0.9764705882352941
Abdominal pain,Dryness in mouth,0.19233333333333333,0.08966666666666667,0.004666666666666667,0.975736568457539,29,65,0.55,0.2,0.975736568457539
Abdominal pain,Itching,0.19233333333333333,0.051666666666666666,0.004666666666666667,0.975736568457539,29,109,0.55,0.28,0.975736568457539
Allergic reaction,Constipation,0.13633333333333333,0.074,0.0033333333333333335,0.9755501222493888,57,64,0.8,0.32,0.9755501222493888
Increased liver enzymes,Fatigue,0.109,0.056666666666666664,0.0026666666666666666,0.9755351681957187,56,171,0.78,0.32,0.9755351681957187
Itching,Fatigue,0.051666666666666666,0.056666666666666664,0.0013333333333333333,0.9741935483870968,109,171,0.28,0.32,0.9741935483870968
Abdominal pain,Constipation,0.19233333333333333,0.074,0.005,0.9740034662045061,29,64,0.55,0.32,0.9740034662045061
Indigestion,Constipation,0.14133333333333334,0.074,0.004,0.9716981132075472,63,64,0.26,0.32,0.9716981132075472
Heartburn,Insomnia (difficulty in sleeping),0.057,0.051666666666666666,0.0016666666666666668,0.9707602339181287,120,87,0.28,0.4,0.9707602339181287
Heartburn,Flatulence,0.057,0.134,0.0016666666666666668,0.9707602339181287,120,43,0.28,0.18,0.9707602339181287
