antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,weight_cons,rule_type
"Heartburn, Vomiting",Diarrhea,0.055,0.7386666666666667,0.05466666666666667,0.993939393939394,1.3455858221201182,1.0,0.014040000000000004,43.12000000000051,0.27177700348432066,0.07397383852052322,0.9768089053803343,0.5339733070780003,0.55,positive
"Diarrhea, Heartburn",Vomiting,0.056,0.476,0.05466666666666667,0.9761904761904762,2.0508203281312527,1.0,0.02801066666666667,22.007999999999978,0.5427862753203804,0.11452513966480446,0.9545619774627407,0.5455182072829131,0.6,positive
Heartburn,"Diarrhea, Vomiting",0.057,0.395,0.05466666666666667,0.9590643274853802,2.42801095565919,1.0,0.03215166666666667,14.779285714285734,0.6236906085921942,0.1375838926174497,0.9323377313807937,0.5487304759789771,0.6,positive
"Diarrhea, Increased liver enzymes",Rash,0.08,0.227,0.050333333333333334,0.6291666666666667,2.7716593245227603,1.0,0.03217333333333333,2.0844943820224717,0.694788367405701,0.1961038961038961,0.5202673566192324,0.4254497063142437,0.5,positive
"Increased liver enzymes, Rash",Diarrhea,0.059333333333333335,0.7386666666666667,0.050333333333333334,0.848314606741573,1.148440352086967,1.0,0.006505777777777777,1.7228641975308636,0.13740665818709194,0.06732055283102986,0.41957119926622316,0.45822770048269984,0.55,positive
"Indigestion, Nausea",Diarrhea,0.14033333333333334,0.7386666666666667,0.12166666666666667,0.8669833729216152,1.173713952511212,1.0,0.018007111111111113,1.9646666666666666,0.17216400112606034,0.16065140845070425,0.4910078045469969,0.5158472821286777,0.55,positive
"Diarrhea, Indigestion",Nausea,0.122,0.7083333333333334,0.12166666666666667,0.9972677595628416,1.4079074252651882,1.0,0.035250000000000004,106.7500000000042,0.3299840858738728,0.17168391345249295,0.9906323185011713,0.5845162327225972,0.35,positive
Indigestion,"Diarrhea, Nausea",0.14133333333333334,0.5726666666666667,0.12166666666666667,0.8608490566037736,1.5032288532079865,1.0,0.04072977777777778,3.0710056497175153,0.38986641708499953,0.20540236353404617,0.6743737674035265,0.5366527005952512,0.55,positive
"Diarrhea, Indigestion",Stomach pain,0.122,0.24833333333333332,0.104,0.8524590163934426,3.4327208713829904,1.0,0.07370333333333333,5.094629629629628,0.8071593364873547,0.3904881101376721,0.8037148776852895,0.6356254813510838,0.55,positive
"Indigestion, Stomach pain",Diarrhea,0.10933333333333334,0.7386666666666667,0.104,0.9512195121951219,1.2877520471955621,1.0,0.0232391111111111,5.357333333333328,0.25088284968524477,0.13978494623655913,0.8133399701343951,0.5460068680109184,0.55,positive
Indigestion,"Diarrhea, Stomach pain",0.14133333333333334,0.21866666666666668,0.104,0.7358490566037735,3.3651633686148177,1.0,0.07309511111111111,2.957904761904761,0.8185220576524924,0.40625,0.6619228540150686,0.6057294063506673,0.55,positive
